INFO  [2018-01-23 12:38:02,919] main                 pid 7048@PCHacker
DEBUG [2018-01-23 12:38:02,925] main                 Using property file ../bin/world.properties
DEBUG [2018-01-23 12:38:02,925] main                 Properties are:
DEBUG [2018-01-23 12:38:02,928] main                     java.vendor = Oracle Corporation
DEBUG [2018-01-23 12:38:02,928] main                     atavism.login.bindport = 5040
DEBUG [2018-01-23 12:38:02,928] main                     atavism.content.db_hostname = localhost
DEBUG [2018-01-23 12:38:02,929] main                     log4j.appender.FILE = org.apache.log4j.RollingFileAppender
DEBUG [2018-01-23 12:38:02,929] main                     atavism.plugin_dep.sampleworld.MobManager = ObjectManager,WorldManager,Inventory,Quest,Combat
DEBUG [2018-01-23 12:38:02,930] main                     sun.java.launcher = SUN_STANDARD
DEBUG [2018-01-23 12:38:02,930] main                     atavism.plugin_dep.Proxy = Instance
DEBUG [2018-01-23 12:38:02,930] main                     log4j.appender.ErrorLog.File = ${atavism.logs}/errors.out
DEBUG [2018-01-23 12:38:02,931] main                     sun.management.compiler = HotSpot 64-Bit Tiered Compilers
DEBUG [2018-01-23 12:38:02,931] main                     atavism.plugin_dep.WorldManager = 
DEBUG [2018-01-23 12:38:02,931] main                     os.name = Windows 7
DEBUG [2018-01-23 12:38:02,934] main                     atavism.plugin_dep.Quest = 
DEBUG [2018-01-23 12:38:02,934] main                     sun.boot.class.path = C:\Program Files\Java\jdk1.7.0_09\jre\lib\resources.jar;C:\Program Files\Java\jdk1.7.0_09\jre\lib\rt.jar;C:\Program Files\Java\jdk1.7.0_09\jre\lib\sunrsasign.jar;C:\Program Files\Java\jdk1.7.0_09\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.7.0_09\jre\lib\jce.jar;C:\Program Files\Java\jdk1.7.0_09\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.7.0_09\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.7.0_09\jre\classes
DEBUG [2018-01-23 12:38:02,934] main                     atavism.auth.db_differentsettings = false
DEBUG [2018-01-23 12:38:02,935] main                     atavism.service_user = mgttest
DEBUG [2018-01-23 12:38:02,935] main                     atavism.flashpolicy.bindaddress = localhost
DEBUG [2018-01-23 12:38:02,935] main                     sun.desktop = windows
DEBUG [2018-01-23 12:38:02,935] main                     java.vm.specification.vendor = Oracle Corporation
DEBUG [2018-01-23 12:38:02,936] main                     atavism.admin.db_name = admin
DEBUG [2018-01-23 12:38:02,937] main                     java.runtime.version = 1.7.0_09-b05
DEBUG [2018-01-23 12:38:02,937] main                     atavism.proxy.bindport = 5050
DEBUG [2018-01-23 12:38:02,937] main                     atavism.flashpolicy.bindport = 5041
DEBUG [2018-01-23 12:38:02,937] main                     atavism.voiceserver = :same
DEBUG [2018-01-23 12:38:02,938] main                     user.name = Hacker Noiadão
DEBUG [2018-01-23 12:38:02,938] main                     atavism.db_user = root
DEBUG [2018-01-23 12:38:02,938] main                     log4j.appender.ErrorLog.MaxBackupIndex = 3
